layer,cosine_similarity,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
2,0.9978427,example_0004,natural,512,4096,sink_stress
3,0.99680555,example_0004,natural,512,4096,sink_stress
4,0.9926192,example_0004,natural,512,4096,sink_stress
5,0.97101897,example_0004,natural,512,4096,sink_stress
6,0.9701631,example_0004,natural,512,4096,sink_stress
7,0.96434563,example_0004,natural,512,4096,sink_stress
8,0.96013963,example_0004,natural,512,4096,sink_stress
9,0.9644685,example_0004,natural,512,4096,sink_stress
10,0.96330154,example_0004,natural,512,4096,sink_stress
11,0.9559113,example_0004,natural,512,4096,sink_stress
12,0.9399679,example_0004,natural,512,4096,sink_stress
13,0.93334484,example_0004,natural,512,4096,sink_stress
14,0.9379797,example_0004,natural,512,4096,sink_stress
15,0.9448651,example_0004,natural,512,4096,sink_stress
16,0.9420032,example_0004,natural,512,4096,sink_stress
17,0.9529888,example_0004,natural,512,4096,sink_stress
18,0.96061015,example_0004,natural,512,4096,sink_stress
19,0.94413996,example_0004,natural,512,4096,sink_stress
20,0.9587706,example_0004,natural,512,4096,sink_stress
21,0.96854293,example_0004,natural,512,4096,sink_stress
22,0.96513236,example_0004,natural,512,4096,sink_stress
23,0.9364493,example_0004,natural,512,4096,sink_stress
0,0.9997065,example_0005,natural,512,4096,sink_stress
1,0.9984509,example_0005,natural,512,4096,sink_stress
2,0.99735594,example_0005,natural,512,4096,sink_stress
3,0.9940477,example_0005,natural,512,4096,sink_stress
4,0.98777163,example_0005,natural,512,4096,sink_stress
5,0.9687554,example_0005,natural,512,4096,sink_stress
