layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,sink_prefix_tokens,total_tokens,experiment
9,13,0.01008141040802002,0.6155024766921997,0.010083319224229823,61.053210987477684,example_0000,natural,0,4096,sink_stress
10,0,0.00010824203491210938,0.5061923861503601,0.00010826016085099163,4676.486233480176,example_0000,natural,0,4096,sink_stress
10,1,0.0008000731468200684,0.8071212768554688,0.0008000470146081445,1008.8093570736795,example_0000,natural,0,4096,sink_stress
10,2,1.811981201171875e-05,0.41391175985336304,1.8120088502327e-05,22843.049342105263,example_0000,natural,0,4096,sink_stress
10,3,1.6689300537109375e-06,0.3108059763908386,1.6689002114496568e-06,186230.67857142858,example_0000,natural,0,4096,sink_stress
10,4,8.702278137207031e-05,0.7203113436698914,8.700342793506064e-05,8277.273287671233,example_0000,natural,0,4096,sink_stress
10,5,0.00014251470565795898,0.30340856313705444,0.0001425106283961755,2128.9631953157673,example_0000,natural,0,4096,sink_stress
10,6,2.1219253540039062e-05,0.16057336330413818,2.1218110253115366e-05,7567.342696629214,example_0000,natural,0,4096,sink_stress
10,7,3.6656856536865234e-05,0.10485512018203735,3.6654282883093576e-05,2860.450406504065,example_0000,natural,0,4096,sink_stress
10,8,1.5854835510253906e-05,0.8401951789855957,1.5856828811881795e-05,52992.99248120301,example_0000,natural,0,4096,sink_stress
10,9,0.00010544061660766602,0.3298377990722656,0.000105433930057193,3128.185415488977,example_0000,natural,0,4096,sink_stress
10,10,0.0002980232238769531,0.5030180811882019,0.0002980073440929878,1687.8486,example_0000,natural,0,4096,sink_stress
10,11,2.86102294921875e-06,0.2474481463432312,2.8605953232603824e-06,86489.39583333333,example_0000,natural,0,4096,sink_stress
10,12,5.066394805908203e-05,0.10300862789154053,5.065859752685919e-05,2033.174117647059,example_0000,natural,0,4096,sink_stress
10,13,0.0003039836883544922,0.3645266890525818,0.0003039965532751575,1199.1652941176471,example_0000,natural,0,4096,sink_stress
11,0,1.990795135498047e-05,0.24058115482330322,1.9909679203803584e-05,12084.676646706586,example_0000,natural,0,4096,sink_stress
11,1,0.0026395320892333984,0.675853967666626,0.0026390781176419548,256.0506729292747,example_0000,natural,0,4096,sink_stress
11,2,0.00032341480255126953,0.6572962999343872,0.00032342536670571296,2032.3630667158127,example_0000,natural,0,4096,sink_stress
11,3,0.0019690990447998047,0.37266623973846436,0.001969398846903741,189.25723453202568,example_0000,natural,0,4096,sink_stress
11,4,1.3053417205810547e-05,0.1682755947113037,1.3052808803529479e-05,12891.305936073059,example_0000,natural,0,4096,sink_stress
11,5,2.6047229766845703e-05,0.1866552233695984,2.6045444472960003e-05,7166.029748283753,example_0000,natural,0,4096,sink_stress
11,6,0.00029277801513671875,0.2583673596382141,0.00029277236114472085,882.4684446254072,example_0000,natural,0,4096,sink_stress
11,7,2.9802322387695312e-06,1.0000085830688477,2.9801789490172444e-06,335547.2,example_0000,natural,0,4096,sink_stress
11,8,0.0023035407066345215,0.7326436042785645,0.0023036170489239218,318.0510777033146,example_0000,natural,0,4096,sink_stress
11,9,0.004512965679168701,0.9868308901786804,0.004512340624355614,218.6657201347157,example_0000,natural,0,4096,sink_stress
11,10,0.002984344959259033,0.8842902183532715,0.0029848032506211756,296.3096526793026,example_0000,natural,0,4096,sink_stress
11,11,4.649162292480469e-05,0.9998504519462585,4.648904038753264e-05,21506.034615384615,example_0000,natural,0,4096,sink_stress
11,12,0.015513300895690918,0.9011756181716919,0.015510309257462196,58.09051369731433,example_0000,natural,0,4096,sink_stress
11,13,0.0,1.0,0.0,100000000.0,example_0000,natural,0,4096,sink_stress
12,0,2.205371856689453e-06,0.12058371305465698,2.2057423461634807e-06,54677.27027027027,example_0000,natural,0,4096,sink_stress
12,1,0.0001856088638305664,0.49956750869750977,0.0001856118841197708,2691.5067437379575,example_0000,natural,0,4096,sink_stress
12,2,0.0001837611198425293,0.2528684139251709,0.00018376444961981084,1376.071359065845,example_0000,natural,0,4096,sink_stress
12,3,0.0014455914497375488,0.6909226179122925,0.0014457626778150092,477.9515111532594,example_0000,natural,0,4096,sink_stress
12,4,0.000965118408203125,0.5117672085762024,0.0009652520009962507,530.263648715415,example_0000,natural,0,4096,sink_stress
12,5,0.0010461211204528809,0.30127859115600586,0.0010460682472065907,287.99589766964846,example_0000,natural,0,4096,sink_stress
12,6,2.205371856689453e-06,0.19270777702331543,2.2052656498762904e-06,87381.08108108108,example_0000,natural,0,4096,sink_stress
12,7,2.4616718292236328e-05,0.041072726249694824,2.4617035226798595e-05,1668.4891041162227,example_0000,natural,0,4096,sink_stress
