layer,head,relevant_mass,sink_mass,relevant_ratio,sink_over_relevant,example_id,filler_type,correct_location,total_tokens,experiment
9,13,0.003885328769683838,0.5902939438819885,0.003884610993023016,151.9289560481706,example_0000,natural,front,4096,competition_sweep
10,0,0.0002213120460510254,0.48210710287094116,0.0002212895704848703,2178.404255319149,example_0000,natural,front,4096,competition_sweep
10,1,0.0007767081260681152,0.8793050050735474,0.0007766705360129331,1132.0919346174508,example_0000,natural,front,4096,competition_sweep
10,2,9.417533874511719e-06,0.37193381786346436,9.417930189294436e-06,39493.759493670885,example_0000,natural,front,4096,competition_sweep
10,3,4.351139068603516e-06,0.323994517326355,4.351069564423366e-06,74462.0,example_0000,natural,front,4096,competition_sweep
10,4,0.00014460086822509766,0.6700732111930847,0.00014459695535792516,4633.950123660346,example_0000,natural,front,4096,competition_sweep
10,5,2.6524066925048828e-05,0.2413201928138733,2.6524438455285847e-05,9098.159550561797,example_0000,natural,front,4096,competition_sweep
10,6,8.404254913330078e-06,0.1862826943397522,8.40287657282779e-06,22165.28368794326,example_0000,natural,front,4096,competition_sweep
10,7,1.901388168334961e-05,0.12882566452026367,1.9011334331060874e-05,6775.347962382445,example_0000,natural,front,4096,competition_sweep
10,8,1.1444091796875e-05,0.5751547813415527,1.1443278766376404e-05,50257.791666666664,example_0000,natural,front,4096,competition_sweep
10,9,3.427267074584961e-05,0.3044012784957886,3.4275159069523015e-05,8881.749565217391,example_0000,natural,front,4096,competition_sweep
10,10,9.006261825561523e-05,0.47946929931640625,9.00727759416152e-05,5323.732627399074,example_0000,natural,front,4096,competition_sweep
10,11,5.918741226196289e-05,0.18162751197814941,5.919096501480162e-05,3068.684793554884,example_0000,natural,front,4096,competition_sweep
10,12,0.0003171563148498535,0.1678752303123474,0.00031713280003051533,529.3138507799285,example_0000,natural,front,4096,competition_sweep
10,13,0.00012254714965820312,0.4615207314491272,0.000122563360219975,3766.066634241245,example_0000,natural,front,4096,competition_sweep
11,0,4.869699478149414e-05,0.23195618391036987,4.8700724865880764e-05,4763.2545899632805,example_0000,natural,front,4096,competition_sweep
11,1,0.0007539987564086914,0.8441554307937622,0.0007538441882129042,1119.5713833992095,example_0000,natural,front,4096,competition_sweep
11,2,0.0012376904487609863,0.6329674124717712,0.0012379703296101219,511.41011317120154,example_0000,natural,front,4096,competition_sweep
11,3,0.0007917881011962891,0.5150948762893677,0.0007917214685253169,650.5463715748268,example_0000,natural,front,4096,competition_sweep
11,4,1.2755393981933594e-05,0.16976886987686157,1.2755697341158338e-05,13309.574766355141,example_0000,natural,front,4096,competition_sweep
11,5,2.664327621459961e-05,0.201943039894104,2.664280615624057e-05,7579.512304250559,example_0000,natural,front,4096,competition_sweep
11,6,0.00021284818649291992,0.1528339385986328,0.00021284850366190623,718.0420050406049,example_0000,natural,front,4096,competition_sweep
11,7,1.0728836059570312e-05,1.0000009536743164,1.0728053382793633e-05,93206.84444444445,example_0000,natural,front,4096,competition_sweep
11,8,0.0006306171417236328,0.8165431618690491,0.0006306061663031244,1294.8318525519849,example_0000,natural,front,4096,competition_sweep
11,9,0.006004631519317627,0.9767984747886658,0.006004223536561031,162.6741743679336,example_0000,natural,front,4096,competition_sweep
11,10,0.00023120641708374023,0.9474413990974426,0.00023118530655565005,4097.816189739624,example_0000,natural,front,4096,competition_sweep
11,11,0.00015747547149658203,0.9995906949043274,0.00015749977629904975,6347.596139288418,example_0000,natural,front,4096,competition_sweep
11,12,0.002077639102935791,0.9675573110580444,0.002077221113534016,465.7003758212124,example_0000,natural,front,4096,competition_sweep
11,13,0.0,1.0,0.0,100000000.0,example_0000,natural,front,4096,competition_sweep
12,0,1.2695789337158203e-05,0.1334661841392517,1.2693655722788676e-05,10512.633802816901,example_0000,natural,front,4096,competition_sweep
12,1,0.00018292665481567383,0.38996821641921997,0.00018291871757350006,2131.8282828282827,example_0000,natural,front,4096,competition_sweep
12,2,0.00016379356384277344,0.12791889905929565,0.00016377478225940067,780.97634643377,example_0000,natural,front,4096,competition_sweep
12,3,0.0006706118583679199,0.6500846147537231,0.0006706057827425613,969.3902764198738,example_0000,natural,front,4096,competition_sweep
